,web-scraper-order,Brand,Name,Model,Price,Average_Rating,Reviews,BatteryCapacity,Charging,Torch,Games,Messaging,Browser,Audio,Sensor,Data,NFC,USB,GPS,Bluetooth,WLAN,Front,Main,card,Built-In,Features,Protection,Resolution,Size,Technology,GPU,Chipset,CPU,4G Band,3G Band,2G Band,Color,SIM,Weight,Dimension,UI Build,Operating System,Unnamed: 42,as,Links-href,Name.1,Name-href,Avg_Rating,AverageRating,score
958,1541228246-18,Samsung Mobile,"Samsung
Galaxy S6 Edge Plus",Galaxy S6 Edge Plus,0,4.1 stars,435.0,,,Yes,Built-in + downloadable,"SMS(threaded view), MMS, Email, Push Mail, IM",HTML5,"3.5mm Audio Jack, 24-bit/192kHz audio, MP4/DivX/XviD/WMV/H.264 player, MP3/WAV/WMA/eAAC+/FLAC player, Speaker Phone",,"GPRS, EDGE, 3G (HSPA 42.2/5.76 Mbps), 4G (LTE Cat6 300/50 Mbps/ LTE Cat9 450/50 Mbps)",Yes,"microUSB v2.0, USB Host","Yes + A-GPS support & Glonass, BDS","v4.2 with A2DP, LE, apt-X","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0 MP, f/1.9, 22mm, 1440p@30fps, dual video call, Auto HDR","16 MP, autofocus, LED flash",Not Confirmed Yet,"32/64GB built-in, 4GB RAM","Force Touch Display, Curved edge screen",Corning Gorilla Glass 4,1440 x 2560 Pixels (~515 PPI),5.7 Inches,"Super Amoled Capacitive , Touchscreen, 16M Colors",Mali-T760MP8,Exynos 7420 Octa,Octa-core (4 x 2.1 GHz Cortex-A57 + 4 x 1.5 GHz Cortex-A53),"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 20(800)",HSDPA 850 / 900 / 1900 / 2100,SIM1: GSM 850 / 900 / 1800 / 1900,"Black Sapphire, Gold Platinum, Silver Titan, White Pearl, Pink",Single SIM (Nano-SIM),153 g,154.4 x 75.8 x 6.9 mm,TouchWiz UI,"Android OS, v5.1.1 (Lollipop)",,,,,,4.1,4.1,3.699645898836952
1035,1541231072-226,Nokia,"Nokia
Lumia 1020",Lumia 1020,0,4.1 stars,426.0,,Up to 19 h,Yes,built-in,"SMS (threaded view), MMS, Email, Push Email, IM",HTML5,"3.5mm audio jack, Speakerphone",,"GPRS Class B, EDGE (Up to 236.8 kbps), 3G (HSDPA 42.2 Mbps, HSUPA 5.76 Mbps), 4G LTE",Yes,Yes,Yes + A-GPS support & Glonass,v3.0 with A2DP,,"(1.2 MP, 720p@30fps)",,,"41 MP, 3264 x 2448 pixels, autofocus, xenon & LED flash","PureMotion HD
ClearBlack display",Corning Gorilla Glass 3,768 x 1280 pixels,4.5 inches,,"GPU (Adreno 225),  , 7GB free SkyDrive storage, Active noise cancellation with dedicated mic, Wireless charging, Document viewer/editor, Predictive text input, Speakerphone",Qualcomm MSM8960 Snapdragon,,LTE 800 / 900 / 1800 / 2100 / 2600,HSDPA 850 / 900 / 1900 / 2100,,"Yellow, white, black",Micro-SIM,158 g,"130.4 x 71.4 x 10.4 mm, 96.9 cc",,Microsoft Windows Phone 8,,,,,,4.1,4.1,3.6950849027477526
267,1541175368-669,Sony,"Sony
Xperia L",Xperia L,0,4.1 stars,418.0,Average Rating is 4.1 stars - based on 418 user reviews.,,Yes,built-in + downloadable,"SMS(threaded view), MMS, Email, IM, Push Mail",HTML5,"3.5mm audio jack, Speakerphone",,"GPRS, EDGE, 3G (HSDPA 21 Mbps, HSUPA 5.76 Mbps)",Yes,Yes,Yes + A-GPS support,v4.0 with A2DP,,Yes,,,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, Wi-Fi hotspot",,Scratch-resistant glass,480 x 854 pixels,4.3 inches,8GB built-in 1GB RAM,,Qualcomm MSM8230 Snapdragon,,,HSDPA 900 / 2100,Dual-core 1 GHz,"Black, White, Red",,137 g,128.7 x 65 x 9.7 mm,,"Android OS, v4.1 (Jelly Bean)",,,,,,4.1,4.1,3.6909425488116683
1038,1541231186-235,Nokia,"Nokia
105",105,0,4.1 stars,412.0,,,No,built-in,SMS,,,Average Rating is 4.1 stars - based on 412 user reviews.,,No,Yes,No,No,,No,"3.5mm audio jack, Speakerphone",,,,,128 x 128 pixels,1.4 inches,,,,,,,,"Black, Cyan",,70 g,,,"107 x 44.8 x 14.3 mm, 64 cc",,,,,,4.1,4.1,3.6877797334674285
138,1541162124-329,BlackBerry,"BlackBerry
Q10",Q10,0,4.1 stars,397.0,Average Rating is 4.1 stars - based on 397 user reviews.,,Yes,built-in + downloadable,"SMS, MMS, Email, Push Email, IM",HTML5,"3.5mm audio jack, Speakerphone",,"GPRS, EDGE, 3G (EV-DO Rev. A, up to 3.1 Mbps, HSPA), 4G LTE",Yes,Yes,A-GPS Only,v4.0 with A2DP,,2MP,,,"Wi-Fi 802.11 a/b/g/n, dual-band",,,720 x 720 pixels,3.1 inches,"16GB built-in, 2GB RAM","GPU, QWERTY Keyboard, Document viewer, Predictive text input, BlackBerry maps, Document editor, Organizer, Photo viewer, NFC support, Voice memo/dial, Predictive text input, SpeakerPhone",Snapdragon S4 (LTE version)/ TI OMAP 4470 (Non-LTE),"Super AMOLED capacitive touchscreen, 16M colors, Multitouch",LTE 700 / 850 / 1700 / 1900,HSDPA 850 / 1900 / 2100,,"Black, White",,139 g,119.6 x 66.8 x 10.4 mm,,"BlackBerry 10 OS, upgradable to v10.1",,,,,,4.1,4.1,3.679654498253252
707,1541159972-163,Sony Ericsson,"Sony Ericsson
Xperia X10",Xperia X10,0,4.1 stars,393.0,Average Rating is 4.1 stars - based on 393 user reviews.,,No,built-in,"SMS, MMS, Email, Push email, IM",HTML,"3.5mm audio jack, Speakerphone",,"GPRS Class 10 (48 kbps), EDGE Class 10 (236.8 kbps), 3G (HSDPA 7.2 Mbps, HSUPA 2 Mbps)",No,Yes,Yes + A-GPS support,v2.1 with A2DP,,No,,,,,Scratch-resistant surface,480 x 854 pixels,4.0 inches,,Adreno 200,Qualcomm QSD8250 Snapdragon,"TFT capacitive touchscreen, 65K colors",,,1 GHz Scorpion,"Sensous Black, Luster White",,135 g,119 x 63 x 13 mm,Timescape UI,"Android OS 1.6 (Donut), upgradable to Android 2.1 (Eclair)",,,,,,4.1,4.1,3.6774333859586847
1029,1541231061-225,Nokia,"Nokia
Lumia 625",Lumia 625,0,4.1 stars,386.0,,,Yes,built-in,"SMS (threaded view), MMS, Email, Push Email, IM",HTML5,"3.5mm audio jack, Speakerphone",,"GPRS Class B, EDGE Class B, 3G (HSDPA 42.2 Mbps, HSUPA 5.76 Mbps), 4G LTE",No,Yes,Yes + A-GPS support & Glonass,"v4.0 with A2DP, LE",,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi hotspot",,,,Corning Gorilla Glass 2,480 x 800 pixels,4.7 inches,,"GPU,  , 7GB free SkyDrive storage, Active noise cancellation with dedicated mic, Document viewer/editor, Predictive text input, Speakerphone",Qualcomm MSM8930 Snapdragon,,LTE 800 / 1800 / 2600,HSDPA 850 / 900 / 2100,,"Orange, Bright green, Yellow, Black and white",Micro-SIM,159 g,"133.3 x 72.3 x 9.2 mm, 87.6 cc",,Microsoft Windows Phone 8,,,,,,4.1,4.1,3.6734894308942994
641,1541162236-335,BlackBerry,"BlackBerry
Bold 9700",Bold 9700,0,4.1 stars,370.0,,,No,built-in + downloadable,"SMS, MMS, Email, IM",HTML,,,"GPRS 	Class 10 (48 kbps), EDGE Class 10 (236.8 kbps), 3G (HSDPA 3.6 Mbps)",No,Yes,Yes + A-GPS support,v2.1 with A2DP,,No,,,,Touch-sensitive optical trackpad,,480 x 360 pixels,2.4 inches,,,,,,HSDPA 850 / 1900 / 2100,624 MHz,Black,,122 g,109 x 60 x 14 mm,,BlackBerry OS 5.0,,,,,,4.1,4.1,3.6641921977802787
912,1541228185-10,Samsung Mobile,"Samsung
Galaxy S7",Galaxy S7,,3.7 stars,490.0,,,,,,,,,,,,,,,,,,,,,,"5.1 inches, 1440 x 2560 pixels (~576 ppi pixel density)

Sensors: Accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2, Fingerprint",HTML5,,,,LTE,,"Bluetooth v4.2 with A2DP, LE, apt-X, USB (microUSB v2.0, USB Host), NFC, WLAN (Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot), GPRS, EDGE, 3G (HSPA 42.2/5.76 Mbps), 4G (LTE Cat9 450/50 Mbps)","Black, White, Gold, Silver",,N/a,,,143.4 x 70.8 x 6.9 mm,,,,,,3.7,3.7,3.4959216313474526
966,1541228320-27,Samsung Mobile,"Samsung
Galaxy Note 4",Galaxy Note 4,0,3.5 stars,1511.0,,,Yes,built-in + downloadable,"SMS(threaded view), MMS, Email, Push Mail, IM, RSS",HTML5,"3.5mm audio jack, Speakerphone",,"GPRS, EDGE, 3G (HSDPA, 42 Mbps; HSUPA), 4G LTE",Yes,"microUSB v2.0 (MHL 2), USB Host",Yes + A-GPS support & Glonass,"v4.1 with A2DP, LE, EDR",,"3.7 MP, 1440p",,,,,Corning Gorilla Glass 3,1440 x 2560 pixels (~515 ppi pixel density),5.7 inches,,"Adreno 420 (SM-N910S)
Mali-T760 (SM-N910C)","Snapdragon 805 (SM-N910S)

Exynos 5433","Super AMOLED capacitive touchscreen, 16M colors, Muultitouch",LTE 800 / 850 / 900 / 1800 / 2100 / 2600,HSDPA 850 / 900 / 1900 / 2100,"Quad-core 2.7 GHz Krait 450, Snapdragon 805
Octa-core 4x1.3 GHz Cortex-A53 + 4x1.9 GHz Cortex-A57, Exynos 5433","Frosted white, Charcoal black, Bronze Gold, Blossom Pink",,176 g,153.5 x 78.6 x 8.5 mm,,,,,,,,3.5,3.5,3.4458757723577196
1069,1541231361-257,Nokia,"Nokia
6",6,,3 stars,609.0,,,,,,,,,,,,,,,,,,,,,,"5.5 Inches, 1080 x 1920 pixels (403 PPI)

Sensors: Accelerometer, proximity, Compass, Fingerprint (rear-mounted)",HTML5,"1.4 GHZ Octa-core Cortex-A53, Qualcomm MSM8937 Snapdragon 430


GPU: Adreno 505",,,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300)",,"Bluetooth v4.0 with A2DP, USB (microUSB 2.0, USB On-The-Go), WLAN (Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot), GPRS, EDGE, 3G (HSPA 42.2/5.76 Mbps), 4G (LTE Cat4 150/50 Mbps)","Arte Black, Matte Black, Tempered Blue, Silver, Copper","SIM1: GSM 850 / 900 / 1800 / 1900

SIM2: GSM 850 / 900 / 1800 / 1900",169 g,,,154 x 75.8 x 8.4 mm,,,,,,3,3.0,3.082751359887692
499,1541190369-913,QMobile,"QMobile
Noir Z8",Noir Z8,108,3 stars,1530.0,,,Yes,built-in + downloadable,"SMS(threaded view), MMS, Email, Push Email, IM",HTML5,"3.5mm audio jack, Speakerphone",,"GPRS, EDGE, 3G (HSPA 21.1/5.76 Mbps), 4G",No,Yes,Yes + A-GPS support,v4.0 with A2DP,,5 MP,,,,,,720 x 1280 pixels (~294 ppi pixel density),5.0 inches,,,Qualcomm snapdragon,,LTE,HSDPA 850 / 1900 / 2100,,"Black, White","Dual-SIM, MIcro-Sim",120 g,143.5 x 72 x 7.5mm,,Android 4.4 (Kit KAt),,,,,,3,3.0,3.0425116542612063
